Microstructure 1 RVE Element Properties:

Number of Nodes (Micro) in RVE: 353
Degree of Freedom (Micro) in RVE: 706
Number of Nodes (Macro) in RVE: 4
Degree of Freedom (Macro) in RVE: 8
Number of Elements in RVE: 320

Macro Boundary Nodes:
Node\Direction 	 x		 y		
5    0.0000000000		    0.0000000000		
9    0.0199999996		    0.0000000000		
11    0.0199999996		    0.0199999996		
13    0.0000000000		    0.0199999996		

Micro Nodes (Undeformed):
Node\Direction 	 x		 y		
1    0.0199999996		    0.0099999998		0 
2    0.0149999997		    0.0099999998		0 
3    0.0099999998		    0.0049999999		0 
4    0.0099999998		    0.0000000000		0 
5    0.0000000000		    0.0000000000		0 
6    0.0099999998		    0.0099999998		0 
7    0.0049999999		    0.0099999998		0 
8    0.0000000000		    0.0099999998		0 
9    0.0199999996		    0.0000000000		0 
10    0.0099999998		    0.0149999997		0 
11    0.0199999996		    0.0199999996		0 
12    0.0099999998		    0.0199999996		0 
13    0.0000000000		    0.0199999996		0 
14    0.0189267099		    0.0099999998		0 
15    0.0178904384		    0.0099999998		0 
16    0.0168676637		    0.0099999998		0 
17    0.0159012768		    0.0099999998		0 
18    0.0148942601		    0.0089771505		0 
19    0.0145892883		    0.0080154510		0 
20    0.0141208954		    0.0071683535		0 
21    0.0135333482		    0.0064622811		0 
22    0.0128263393		    0.0058754627		0 
23    0.0119770914		    0.0054074945		0 
24    0.0110159833		    0.0051043103		0 
25    0.0099999998		    0.0040724236		0 
26    0.0099999998		    0.0030998504		0 
27    0.0099999998		    0.0020885754		0 
28    0.0099999998		    0.0010560132		0 
29    0.0112302378		    0.0000000000		0 
30    0.0124576492		    0.0000000000		0 
31    0.0136864642		    0.0000000000		0 
32    0.0149243250		    0.0000000000		0 
33    0.0161765032		    0.0000000000		0 
34    0.0174413286		    0.0000000000		0 
35    0.0187168624		    0.0000000000		0 
36    0.0199999996		    0.0012690068		0 
37    0.0199999996		    0.0025368880		0 
38    0.0199999996		    0.0038024467		0 
39    0.0199999996		    0.0050617014		0 
40    0.0199999996		    0.0063099954		0 
41    0.0199999996		    0.0075474805		0 
42    0.0199999996		    0.0087774154		0 
43    0.0139437225		    0.0099999998		0 
44    0.0129356738		    0.0099999998		0 
45    0.0119419061		    0.0099999998		0 
46    0.0109716859		    0.0099999998		0 
47    0.0099999998		    0.0090307258		0 
48    0.0099999998		    0.0080586905		0 
49    0.0099999998		    0.0070720445		0 
50    0.0099999998		    0.0060348520		0 
51    0.0090294927		    0.0099999998		0 
52    0.0080554001		    0.0099999998		0 
53    0.0070644990		    0.0099999998		0 
54    0.0060000001		    0.0099999998		0 
55    0.0051049222		    0.0089810733		0 
56    0.0054087206		    0.0080200620		0 
57    0.0058762585		    0.0071725003		0 
58    0.0064625260		    0.0064664073		0 
59    0.0071675703		    0.0058796429		0 
60    0.0080131674		    0.0054117004		0 
61    0.0089755124		    0.0051060831		0 
62    0.0040725251		    0.0099999998		0 
63    0.0030999486		    0.0099999998		0 
64    0.0020884262		    0.0099999998		0 
65    0.0010557022		    0.0099999998		0 
